"","block","start_meter","end_meter","formation_start","release_end","line","buffer"
"118","27_28_1",6951,8028,2657.5192035687,2731.10905356881,"rjx_s",104.375708845887
"5431","27_28_1",6951,8028,2835.4847624147,2911.8475124148,"s25_s_1",1245.67169115278
"1805","27_28_1",6951,8028,4157.51920356758,4231.10905356662,"ic2_s_1",224.250156528973
"2166","27_28_1",6951,8028,4455.35921009559,4528.41963509516,"ir70_s_2",30.2739917492736
"3008","27_28_1",6951,8028,4558.69362684443,4629.87462684453,"re_s_2",1207.64457672263
"335","27_28_1",6951,8028,5837.51920356716,5911.10905356619,"ec_s_1",46.4101500009656
"2256","27_28_1",6951,8028,5957.51920356716,6031.10905356619,"ir75_s_2",36.3301826420302
"1073","27_28_1",6951,8028,6067.43923620822,6138.38196120779,"ic3_s_2",297.102801205237
"5669","27_28_1",6951,8028,6435.48476241303,6511.84751241209,"s25_s_2",NA
"2042","28_29_1",8028,9105,587.082853568607,660.672703568711,"ir46_s_1",35.118557640527
"372","28_29_1",8028,9105,695.791261209238,766.733986209338,"ice_s_1",117.946548887404
"2148","28_29_1",8028,9105,884.680535096742,957.740960096845,"ir70_s_1",30.0316667474196
"2294","28_29_1",8028,9105,987.772626844265,1058.95362684437,"re_s_1",1208.1292267243
"2078","28_29_1",8028,9105,2267.08285356866,2340.67270356877,"ir_s_1",46.4101499999847
"2220","28_29_1",8028,9105,2387.08285356875,2460.67270356886,"ir75_s_1",35.118557639461
"723","28_29_1",8028,9105,2495.79126120832,2566.73398620788,"ic3_s_1",120.348867360869
"119","28_29_1",8028,9105,2687.08285356875,2760.67270356886,"rjx_s",106.31430884589
"5432","28_29_1",8028,9105,2866.98701241475,2943.34976241485,"s25_s_1",1243.73309115229
"1806","28_29_1",8028,9105,4187.08285356714,4260.67270356618,"ic2_s_1",224.007831529218
"2167","28_29_1",8028,9105,4484.68053509539,4557.74096009496,"ir70_s_2",30.0316667495181
"3009","28_29_1",8028,9105,4587.77262684448,4658.95362684458,"re_s_2",1208.12922672214
"336","28_29_1",8028,9105,5867.08285356672,5940.67270356575,"ec_s_1",46.4101500009656
"2257","28_29_1",8028,9105,5987.08285356672,6060.67270356575,"ir75_s_2",35.1185576422731
"1074","28_29_1",8028,9105,6095.79126120803,6166.73398620759,"ic3_s_2",300.253026204998
"5670","28_29_1",8028,9105,6466.98701241259,6543.34976241165,"s25_s_2",NA
"2043","29_30_1",9105,10182,616.646503568654,690.2425602837,"ir46_s_1",33.9007259255837
"373","29_30_1",9105,10182,724.143286209284,795.091963550762,"ice_s_1",118.909896546027
"2149","29_30_1",9105,10182,914.001860096789,987.068440937121,"ir70_s_1",29.7831859071908
"2295","29_30_1",9105,10182,1016.85162684431,1088.03262684441,"re_s_1",1208.6138767243
"2079","29_30_1",9105,10182,2296.64650356871,2370.24256028375,"ir_s_1",46.4039432850459
"2221","29_30_1",9105,10182,2416.6465035688,2490.24256028384,"ir75_s_1",33.9007259242753
"724","29_30_1",9105,10182,2524.14328620812,2595.09196354907,"ic3_s_1",121.554540019732
"120","29_30_1",9105,10182,2716.6465035688,2790.24256028384,"rjx_s",108.246702130954
"5433","29_30_1",9105,10182,2898.4892624148,2974.85201241491,"s25_s_1",1241.79449115179
"1807","29_30_1",9105,10182,4216.6465035667,4290.2425602807,"ic2_s_1",223.759299814502
"2168","29_30_1",9105,10182,4514.0018600952,4587.068440935,"ir70_s_2",29.783185909524
"3010","29_30_1",9105,10182,4616.85162684453,4688.03262684463,"re_s_2",1208.61387672165
"337","29_30_1",9105,10182,5896.64650356628,5970.24256028027,"ec_s_1",46.4039432860054
"2258","29_30_1",9105,10182,6016.64650356628,6090.24256028027,"ir75_s_2",33.9007259275559
"1075","29_30_1",9105,10182,6124.14328620783,6195.09196354878,"ic3_s_2",303.397298863371
"5671","29_30_1",9105,10182,6498.48926241215,6574.85201241121,"s25_s_2",NA
"2044","30_31_1",10182,11259,646.210153568702,729.920599330766,"ir46_s_1",22.5747118785636
"374","30_31_1",10182,11259,752.49531120933,833.143853456556,"ice_s_1",110.179331640281
"2150","30_31_1",10182,11259,943.323185096836,1026.42125015593,"ir70_s_1",19.5093766884261
"2296","30_31_1",10182,11259,1045.93062684436,1125.57344293816,"re_s_1",1200.6367106306
"2080","30_31_1",10182,11259,2326.21015356876,2409.92059933081,"ir_s_1",36.2895542380334
"2222","30_31_1",10182,11259,2446.21015356885,2531.09754976584,"ir75_s_1",21.3977614420755
"725","30_31_1",10182,11259,2552.49531120792,2633.14385345485,"ic3_s_1",113.066300113992
"121","30_31_1",10182,11259,2746.21015356885,2829.9205993309,"rjx_s",100.070913083945
"5434","30_31_1",10182,11259,2929.99151241485,3014.6213784006,"s25_s_1",1231.58877516566
"1808","30_31_1",10182,11259,4246.21015356626,4329.92059932776,"ic2_s_1",213.40258576724
"2169","30_31_1",10182,11259,4543.323185095,4626.42125015383,"ir70_s_2",19.5093766907457
"3011","30_31_1",10182,11259,4645.93062684458,4725.57344293839,"re_s_2",1200.63671062744
"338","30_31_1",10182,11259,5926.21015356583,6009.92059932734,"ec_s_1",36.2895542384986
"2259","30_31_1",10182,11259,6046.21015356583,6131.09754976228,"ir75_s_2",21.3977614453461
"1076","30_31_1",10182,11259,6152.49531120763,6233.14385345459,"ic3_s_2",296.84765895712
"5672","30_31_1",10182,11259,6529.99151241171,6614.62137839681,"s25_s_2",NA
"2045","31_73_1",11259,11294,675.77380356875,731.538659239599,"ir46_s_1",49.3086769697766
"375","31_73_1",11259,11294,780.847336209375,834.695599434701,"ice_s_1",137.948910662182
"2151","31_73_1",11259,11294,972.644510096884,1028.02604727863,"ir70_s_1",46.983579565775
"2297","31_73_1",11259,11294,1075.00962684441,1127.68380155823,"re_s_1",1228.09000201058
"2081","31_73_1",11259,11294,2355.77380356881,2411.53865923965,"ir_s_1",64.2351443292487
"2223","31_73_1",11259,11294,2475.77380356889,2533.2516797897,"ir75_s_1",47.5956564180174
"726","31_73_1",11259,11294,2580.84733620772,2634.695599433,"ic3_s_1",141.078204135898
"122","31_73_1",11259,11294,2775.77380356889,2831.53865923974,"rjx_s",129.955103175163
"5435","31_73_1",11259,11294,2961.4937624149,3016.34553130531,"s25_s_1",1259.4282722605
"1809","31_73_1",11259,11294,4275.77380356582,4331.53865923659,"ic2_s_1",241.10585085821
"2170","31_73_1",11259,11294,4572.6445100948,4628.02604727652,"ir70_s_2",46.983579568101
"3012","31_73_1",11259,11294,4675.00962684462,4727.68380155846,"re_s_2",1228.09000200693
"339","31_73_1",11259,11294,5955.77380356539,6011.53865923617,"ec_s_1",64.2351443292237
"2260","31_73_1",11259,11294,6075.77380356539,6133.25167978614,"ir75_s_2",47.5956564212911
"1077","31_73_1",11259,11294,6180.84733620743,6234.69559943272,"ic3_s_2",326.798162978555
