"","block","start_meter","end_meter","formation_start","release_end","line","mean_occupation","release_end_assumed","buffer_to_next_train","following_train"
"279","26_27_1",5874,6951,2439.08721120871,2510.02993620828,"ic3_s_1",73.0728421872372,FALSE,117.925617360376,"rjx_s"
"11","26_27_1",5874,6951,2627.95555356866,2701.54540356876,"rjx_s",73.0728421872372,FALSE,102.437108845884,"s25_s_1"
"1055","26_27_1",5874,6951,2803.98251241464,2880.34526241475,"s25_s_1",73.0728421872372,FALSE,1247.61029115327,"ic2_s_1"
"578","26_27_1",5874,6951,4127.95555356803,4201.54540356706,"ic2_s_1",73.0728421872372,FALSE,224.492481528729,"ir70_s_2"
"707","26_27_1",5874,6951,4426.03788509579,4499.09831009536,"ir70_s_2",73.0728421872372,FALSE,30.5163167490291,"re_s_2"
"899","26_27_1",5874,6951,4529.61462684439,4600.79562684449,"re_s_2",73.0728421872372,FALSE,1207.15992672311,"ec_s_1"
"117","26_27_1",5874,6951,5807.9555535676,5881.54540356664,"ec_s_1",73.0728421872372,FALSE,46.4101500009656,"ir75_s_2"
"741","26_27_1",5874,6951,5927.9555535676,6001.54540356664,"ir75_s_2",73.0728421872372,FALSE,37.5418076417873,"ic3_s_2"
"423","26_27_1",5874,6951,6039.08721120842,6110.02993620799,"ic3_s_2",73.0728421872372,FALSE,293.952576205477,"s25_s_2"
"1126","26_27_1",5874,6951,6403.98251241347,6480.34526241253,"s25_s_2",73.0728421872372,FALSE,NA,NA
"656","27_28_1",6951,8028,557.519203568559,631.109053568663,"ir46_s_1",73.0728421872372,FALSE,36.330182640529,"ice_s_1"
"136","27_28_1",6951,8028,667.439236209192,738.381961209292,"ice_s_1",73.0728421872372,FALSE,116.977248887402,"ir70_s_1"
"692","27_28_1",6951,8028,855.359210096694,928.419635096798,"ir70_s_1",73.0728421872372,FALSE,30.27399174742,"re_s_1"
"758","27_28_1",6951,8028,958.693626844218,1029.87462684432,"re_s_1",73.0728421872372,FALSE,1207.6445767243,"ir_s_1"
"673","27_28_1",6951,8028,2237.51920356861,2311.10905356872,"ir_s_1",73.0728421872372,FALSE,46.4101499999847,"ir75_s_1"
"726","27_28_1",6951,8028,2357.5192035687,2431.10905356881,"ir75_s_1",73.0728421872372,FALSE,36.3301826397078,"ic3_s_1"
"280","27_28_1",6951,8028,2467.43923620852,2538.38196120808,"ic3_s_1",73.0728421872372,FALSE,119.137242360623,"rjx_s"
"12","27_28_1",6951,8028,2657.5192035687,2731.10905356881,"rjx_s",73.0728421872372,FALSE,104.375708845887,"s25_s_1"
"1056","27_28_1",6951,8028,2835.4847624147,2911.8475124148,"s25_s_1",73.0728421872372,FALSE,1245.67169115278,"ic2_s_1"
"579","27_28_1",6951,8028,4157.51920356758,4231.10905356662,"ic2_s_1",73.0728421872372,FALSE,224.250156528973,"ir70_s_2"
"708","27_28_1",6951,8028,4455.35921009559,4528.41963509516,"ir70_s_2",73.0728421872372,FALSE,30.2739917492736,"re_s_2"
"900","27_28_1",6951,8028,4558.69362684443,4629.87462684453,"re_s_2",73.0728421872372,FALSE,1207.64457672263,"ec_s_1"
"118","27_28_1",6951,8028,5837.51920356716,5911.10905356619,"ec_s_1",73.0728421872372,FALSE,46.4101500009656,"ir75_s_2"
"742","27_28_1",6951,8028,5957.51920356716,6031.10905356619,"ir75_s_2",73.0728421872372,FALSE,36.3301826420302,"ic3_s_2"
"424","27_28_1",6951,8028,6067.43923620822,6138.38196120779,"ic3_s_2",73.0728421872372,FALSE,297.102801205237,"s25_s_2"
"1127","27_28_1",6951,8028,6435.48476241303,6511.84751241209,"s25_s_2",73.0728421872372,FALSE,NA,NA
"657","28_29_1",8028,9105,587.082853568607,660.672703568711,"ir46_s_1",73.0728421872372,FALSE,35.118557640527,"ice_s_1"
"137","28_29_1",8028,9105,695.791261209238,766.733986209338,"ice_s_1",73.0728421872372,FALSE,117.946548887404,"ir70_s_1"
"693","28_29_1",8028,9105,884.680535096742,957.740960096845,"ir70_s_1",73.0728421872372,FALSE,30.0316667474196,"re_s_1"
"759","28_29_1",8028,9105,987.772626844265,1058.95362684437,"re_s_1",73.0728421872372,FALSE,1208.1292267243,"ir_s_1"
"674","28_29_1",8028,9105,2267.08285356866,2340.67270356877,"ir_s_1",73.0728421872372,FALSE,46.4101499999847,"ir75_s_1"
"727","28_29_1",8028,9105,2387.08285356875,2460.67270356886,"ir75_s_1",73.0728421872372,FALSE,35.118557639461,"ic3_s_1"
"281","28_29_1",8028,9105,2495.79126120832,2566.73398620788,"ic3_s_1",73.0728421872372,FALSE,120.348867360869,"rjx_s"
"13","28_29_1",8028,9105,2687.08285356875,2760.67270356886,"rjx_s",73.0728421872372,FALSE,106.31430884589,"s25_s_1"
"1057","28_29_1",8028,9105,2866.98701241475,2943.34976241485,"s25_s_1",73.0728421872372,FALSE,1243.73309115229,"ic2_s_1"
"580","28_29_1",8028,9105,4187.08285356714,4260.67270356618,"ic2_s_1",73.0728421872372,FALSE,224.007831529218,"ir70_s_2"
"709","28_29_1",8028,9105,4484.68053509539,4557.74096009496,"ir70_s_2",73.0728421872372,FALSE,30.0316667495181,"re_s_2"
"901","28_29_1",8028,9105,4587.77262684448,4658.95362684458,"re_s_2",73.0728421872372,FALSE,1208.12922672214,"ec_s_1"
"119","28_29_1",8028,9105,5867.08285356672,5940.67270356575,"ec_s_1",73.0728421872372,FALSE,46.4101500009656,"ir75_s_2"
"743","28_29_1",8028,9105,5987.08285356672,6060.67270356575,"ir75_s_2",73.0728421872372,FALSE,35.1185576422731,"ic3_s_2"
"425","28_29_1",8028,9105,6095.79126120803,6166.73398620759,"ic3_s_2",73.0728421872372,FALSE,300.253026204998,"s25_s_2"
"1128","28_29_1",8028,9105,6466.98701241259,6543.34976241165,"s25_s_2",73.0728421872372,FALSE,NA,NA
"658","29_30_1",9105,10182,616.646503568654,690.2425602837,"ir46_s_1",73.0774431690656,FALSE,33.9007259255837,"ice_s_1"
"138","29_30_1",9105,10182,724.143286209284,795.091963550762,"ice_s_1",73.0774431690656,FALSE,118.909896546027,"ir70_s_1"
"694","29_30_1",9105,10182,914.001860096789,987.068440937121,"ir70_s_1",73.0774431690656,FALSE,29.7831859071908,"re_s_1"
"760","29_30_1",9105,10182,1016.85162684431,1088.03262684441,"re_s_1",73.0774431690656,FALSE,1208.6138767243,"ir_s_1"
"675","29_30_1",9105,10182,2296.64650356871,2370.24256028375,"ir_s_1",73.0774431690656,FALSE,46.4039432850459,"ir75_s_1"
"728","29_30_1",9105,10182,2416.6465035688,2490.24256028384,"ir75_s_1",73.0774431690656,FALSE,33.9007259242753,"ic3_s_1"
"282","29_30_1",9105,10182,2524.14328620812,2595.09196354907,"ic3_s_1",73.0774431690656,FALSE,121.554540019732,"rjx_s"
"14","29_30_1",9105,10182,2716.6465035688,2790.24256028384,"rjx_s",73.0774431690656,FALSE,108.246702130954,"s25_s_1"
"1058","29_30_1",9105,10182,2898.4892624148,2974.85201241491,"s25_s_1",73.0774431690656,FALSE,1241.79449115179,"ic2_s_1"
"581","29_30_1",9105,10182,4216.6465035667,4290.2425602807,"ic2_s_1",73.0774431690656,FALSE,223.759299814502,"ir70_s_2"
"710","29_30_1",9105,10182,4514.0018600952,4587.068440935,"ir70_s_2",73.0774431690656,FALSE,29.783185909524,"re_s_2"
"902","29_30_1",9105,10182,4616.85162684453,4688.03262684463,"re_s_2",73.0774431690656,FALSE,1208.61387672165,"ec_s_1"
"120","29_30_1",9105,10182,5896.64650356628,5970.24256028027,"ec_s_1",73.0774431690656,FALSE,46.4039432860054,"ir75_s_2"
"744","29_30_1",9105,10182,6016.64650356628,6090.24256028027,"ir75_s_2",73.0774431690656,FALSE,33.9007259275559,"ic3_s_2"
"426","29_30_1",9105,10182,6124.14328620783,6195.09196354878,"ic3_s_2",73.0774431690656,FALSE,303.397298863371,"s25_s_2"
"1129","29_30_1",9105,10182,6498.48926241215,6574.85201241121,"s25_s_2",73.0774431690656,FALSE,NA,NA
"659","30_31_1",10182,11259,646.210153568702,729.920599330766,"ir46_s_1",82.8133838887582,FALSE,22.5747118785636,"ice_s_1"
"139","30_31_1",10182,11259,752.49531120933,833.143853456556,"ice_s_1",82.8133838887582,FALSE,110.179331640281,"ir70_s_1"
"695","30_31_1",10182,11259,943.323185096836,1026.42125015593,"ir70_s_1",82.8133838887582,FALSE,19.5093766884261,"re_s_1"
"761","30_31_1",10182,11259,1045.93062684436,1125.57344293816,"re_s_1",82.8133838887582,FALSE,1200.6367106306,"ir_s_1"
"676","30_31_1",10182,11259,2326.21015356876,2409.92059933081,"ir_s_1",82.8133838887582,FALSE,36.2895542380334,"ir75_s_1"
"729","30_31_1",10182,11259,2446.21015356885,2531.09754976584,"ir75_s_1",82.8133838887582,FALSE,21.3977614420755,"ic3_s_1"
"283","30_31_1",10182,11259,2552.49531120792,2633.14385345485,"ic3_s_1",82.8133838887582,FALSE,113.066300113992,"rjx_s"
"15","30_31_1",10182,11259,2746.21015356885,2829.9205993309,"rjx_s",82.8133838887582,FALSE,100.070913083945,"s25_s_1"
